index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
237,300,168,256,2745.0496,173.0762,0.0000,255.0000,47.3562,10675,1.0000
238,275,183,256,9556.4756,130.3295,0.0000,255.0000,53.2405,15924,1.0000
239,275,183,256,1758.2999,127.7527,0.0000,255.0000,59.0755,8987,1.0000
240,273,184,256,7499.2334,111.1493,0.0000,255.0000,50.7854,14200,1.0000
241,100,100,256,429.4203,119.1939,0.0000,255.0000,53.3109,2596,1.0000
242,287,175,256,4863.8525,111.3672,0.0000,255.0000,53.0114,13801,1.0000
243,270,187,256,13753.5156,127.4345,0.0000,255.0000,55.1035,17519,1.0000
244,329,153,256,2504.0725,124.8964,0.0000,255.0000,63.2291,9520,1.0000
245,256,197,256,4159.0288,98.0304,0.0000,255.0000,51.4113,12746,1.0000
246,267,188,256,5919.1860,136.7346,0.0000,255.0000,72.6272,13988,1.0000
247,275,183,256,1781.1559,145.9506,0.0000,255.0000,54.0624,8974,1.0000
248,194,259,256,1783.9813,128.8362,0.0000,255.0000,52.0910,10333,1.0000
249,268,188,256,3660.6633,106.8766,0.0000,255.0000,59.8403,9341,1.0000
250,275,183,256,3947.8088,88.0514,0.0000,255.0000,67.1811,11481,1.0000
251,170,113,256,5328.7188,109.5362,0.0000,255.0000,60.9547,7051,1.0000
252,100,100,256,371.3872,204.4146,0.0000,255.0000,55.1259,2217,1.0000
253,170,113,256,4775.7319,88.7753,0.0000,255.0000,59.6471,7108,1.0000
254,250,202,256,6221.3682,103.8541,0.0000,255.0000,48.9646,14240,1.0000
255,275,183,256,6851.8247,94.2442,0.0000,255.0000,53.3688,15312,1.0000
256,177,285,256,3944.6663,116.6811,0.0000,255.0000,68.4378,12282,1.0000
257,219,231,256,667.5782,138.8357,0.0000,255.0000,53.3900,7167,1.0000
258,195,259,256,2092.7942,139.7973,0.0000,255.0000,47.5166,10676,1.0000
259,181,278,256,4069.4312,107.0340,0.0000,255.0000,52.1935,14381,1.0000
260,276,183,256,2782.4875,109.1096,0.0000,255.0000,55.0915,10436,1.0000
