from,to,distance
2178,1260,0.988769
1260,2178,0.988769
1590,970,0.988746
970,1590,0.988746
1652,1708,0.988686
1708,1652,0.988686
1053,1708,0.988686
458,277,0.988629
277,458,0.988629
1951,1934,0.988583
1934,1951,0.988583
1601,1733,0.988464
1733,1693,0.988464
1733,1601,0.988464
1693,1733,0.988464
236,250,0.988380
654,945,0.988255
945,654,0.988255
1957,1922,0.987921
1922,1957,0.987921
1762,1751,0.987794
1751,1762,0.987794
1951,1996,0.987695
1996,1951,0.987695
841,636,0.987657
636,841,0.987657
1762,1737,0.987482
1737,1762,0.987482
92,1601,0.986732
92,1693,0.986732
2017,195,0.986726
782,411,0.986713
411,782,0.986713
1584,1549,0.986558
1899,1855,0.986270
1855,1899,0.986270
427,290,0.986180
290,427,0.986180
220,427,0.986180
427,220,0.986180
208,2062,0.986015
2062,208,0.986015
1789,1652,0.985771
205,2064,0.985377
2064,205,0.985377
1934,1996,0.985251
1996,1934,0.985251
354,2049,0.985245
2049,354,0.985245
224,636,0.985121
636,224,0.985121
1048,455,0.984885
455,1048,0.984885
1707,1772,0.984268
1707,849,0.984268
201,2083,0.983681
2083,201,0.983681
1605,278,0.983669
278,1605,0.983669
1584,1565,0.982311
411,2083,0.982250
2083,411,0.982250
630,1032,0.982233
1032,630,0.982233
1664,705,0.982147
2081,705,0.982147
705,2081,0.982147
705,1664,0.982147
287,225,0.982025
225,287,0.982025
2,121,0.981912
121,2,0.981912
2119,250,0.981879
2119,119,0.981879
1942,1957,0.981647
1957,1942,0.981647
2038,1661,0.981305
1661,2038,0.981305
1627,2023,0.981302
2023,1627,0.981302
396,308,0.981022
308,396,0.981022
276,250,0.979966
276,119,0.979966
239,875,0.979661
875,239,0.979661
1895,1805,0.979626
1918,2071,0.979585
1891,1918,0.979585
2071,1918,0.979585
104,2071,0.979246
2039,2050,0.979114
2050,2039,0.979114
1901,830,0.978961
830,1901,0.978961
262,1668,0.978945
1668,262,0.978945
1864,1805,0.978598
2080,2031,0.978464
2031,2080,0.978464
1000,106,0.978307
106,1000,0.978307
287,1668,0.978179
1873,1836,0.978101
1836,1873,0.978101
2018,411,0.977882
782,2018,0.977813
2018,782,0.977813
1864,163,0.977461
2076,2036,0.977394
2036,2076,0.977394
1895,1864,0.977333
262,225,0.977131
1822,989,0.975717
1833,989,0.975717
989,1822,0.975717
989,1833,0.975717
239,222,0.975560
222,239,0.975560
1529,1161,0.975468
1452,1161,0.975468
1161,1452,0.975468
1161,1529,0.975468
2028,1901,0.975453
1866,1901,0.975453
1736,1668,0.975217
1289,371,0.975170
371,1289,0.975170
38,1246,0.975011
38,50,0.974972
1964,161,0.974919
161,1964,0.974919
835,110,0.973920
110,835,0.973920
830,664,0.973901
664,830,0.973901
2044,1906,0.973565
1906,2044,0.973565
1248,1903,0.973403
1903,1248,0.973403
1587,236,0.972753
1736,225,0.972721
1587,1557,0.972011
693,987,0.972004
987,693,0.972004
1660,1590,0.971699
1590,1560,0.971699
1560,1590,0.971699
1885,202,0.971621
202,1885,0.971621
245,955,0.970943
955,245,0.970943
1908,1874,0.970506
1874,1908,0.970506
890,1817,0.969622
1817,890,0.969622
201,411,0.969517
261,447,0.969397
447,261,0.969397
1591,612,0.969389
612,1591,0.969389
1778,1760,0.969340
1760,1778,0.969340
1289,1300,0.969061
1300,1289,0.969061
512,797,0.968556
797,858,0.968556
858,797,0.968556
797,512,0.968556
2039,1885,0.968444
1885,2039,0.968444
1986,1966,0.967726
1966,1986,0.967726
1481,1404,0.967682
1385,1404,0.967682
1404,1385,0.967682
1272,1288,0.967190
1288,1272,0.967190
1539,1513,0.966883
1513,1539,0.966883
1905,2048,0.966583
2048,2065,0.966583
2065,2048,0.966583
116,279,0.966303
279,116,0.966303
76,1385,0.966112
247,1816,0.965973
1816,247,0.965973
970,1560,0.965799
116,1638,0.965689
1638,116,0.965689
167,2065,0.965259
827,268,0.964789
268,827,0.964789
1997,1966,0.964680
1966,1997,0.964680
1884,182,0.964679
182,1884,0.964679
1393,50,0.964641
